mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_clf__reg_lambda,param_clf__scale_pos_weight,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.7632954915364584,0.016132833053731793,0.10969058672587077,0.0014063578644535727,0.8,0.1,4,300,1.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.6905715724028414,0.6922210768151579,0.6909044165088662,0.6912323552422884,0.0007122144158523388,11
0.7412339846293131,0.023500171035008642,0.11197694142659505,0.002338416054659893,0.8,0.1,4,300,2.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 300, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.6906975455499282,0.6923473040899629,0.6894122233285063,0.6908190243227992,0.0012013166632940456,13
1.1360713640848796,0.005669041024391297,0.137632687886556,0.0003329298604614106,0.8,0.1,4,600,1.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.6957186498673111,0.6966810652404921,0.6949230499680851,0.6957742550252961,0.0007187829411349914,9
1.1487295627593994,0.0112685208622921,0.13460604349772134,0.001399466739149205,0.8,0.1,4,600,2.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 600, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.6958765884652058,0.696783612578871,0.6935183955370212,0.6953928655270326,0.0013762028661702267,10
0.965886116027832,0.00038865626562972685,0.15358567237854004,0.0024358395897453975,0.8,0.1,8,300,1.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.7167697642798971,0.7162424393820748,0.7163380102624874,0.7164500713081532,0.00022939942666682996,4
0.9849999745686849,0.012791888698573988,0.15500386555989584,0.000703238123194786,0.8,0.1,8,300,2.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.716326956848508,0.7153581125494967,0.7135697192751453,0.7150849295577166,0.0011420920772100942,6
1.6289417743682861,0.002630026811542856,0.22661503156026205,0.0026414769096623036,0.8,0.1,8,600,1.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.725525133378091,0.7251578154896331,0.7244147027787246,0.7250325505488161,0.00046190367542069577,1
1.8052081267038982,0.22890987939649585,0.22535483042399088,0.003541696730091163,0.8,0.1,8,600,2.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 600, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.7237679698730265,0.7237878099097277,0.7216831363157659,0.7230796386995068,0.0009875095231977667,2
0.7358362674713135,0.014954246195944694,0.11195095380147298,0.0029898178081219895,0.8,0.05,4,300,1.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.6855674811440664,0.6840456597362614,0.6830437403558012,0.6842189604120431,0.0010375746510518857,16
0.7282087008158366,0.0032844894917950056,0.11022257804870605,0.0007156969140335455,0.8,0.05,4,300,2.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 300, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.6856823062145213,0.6844310426762467,0.6828234572824707,0.6843122687244129,0.0011701380952113677,15
1.1460431416829426,0.01483428167468943,0.13766352335611978,0.002153807713718935,0.8,0.05,4,600,1.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.6906381692076564,0.6923023421994523,0.6896983333058533,0.6908796149043207,0.0010767041059994032,12
1.1592776775360107,0.019047065631127923,0.13660923639933267,0.002309338006643024,0.8,0.05,4,600,2.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 600, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.6907749027893354,0.6915691599440679,0.6893834208237664,0.6905758278523898,0.0009033592856274495,14
0.9671293099721273,0.0023742002736993934,0.15572706858317056,0.0015288191314620084,0.8,0.05,8,300,1.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.7049985334148354,0.7054974191421457,0.7039668895355675,0.7048209473641829,0.0006373292310848793,7
0.9849292437235514,0.020107335991518007,0.1539453665415446,0.0017213389294966435,0.8,0.05,8,300,2.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 300, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.7034299895936544,0.7050031979747009,0.7034675333570839,0.7039669069751464,0.0007329286733652167,8
1.64781657854716,0.011740582741056065,0.22459514935811362,0.0006183893571424599,0.8,0.05,8,600,1.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 600, 'clf__reg_lambda': 1.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.7175242073113681,0.7173621711816793,0.7158047333407382,0.7168970372779286,0.0007752031326184737,3
1.6786053975423176,0.05020196399239478,0.22886013984680176,0.0020103235453925975,0.8,0.05,8,600,2.0,1.5693182273109412,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 600, 'clf__reg_lambda': 2.0, 'clf__scale_pos_weight': 1.5693182273109412, 'clf__subsample': 0.8}",0.7156683924729716,0.7163844091091226,0.7142666140520146,0.7154398052113695,0.000879565452596816,5
